id;titulo;descricao;data_publicacao;preco
1;strike observation;juicy obedient;2024-04-13T08:16:54;15246.04
2;unabashedly now sympathetically;anenst puddle;2024-04-14T04:04:13;15294.6
3;aching;helplessly critical;2024-04-13T22:42:40;21702.89
4;sickness impanel;pfft;2024-04-14T03:33:31;2016.75
5;blah up;oblong;2024-04-13T09:11:28;19987.97
6;drat envious;garage;2024-04-14T03:22:54;25351.7
7;truly amongst;nor arid skivvy;2024-04-13T19:36:09;10568.89
8;scarily pocketbook but;between detour impale;2024-04-13T12:06:49;11084.2
9;blench who;blah heifer unless;2024-04-13T21:05:14;12868.92
10;accede consequently drat;nervous yowza;2024-04-13T20:03:50;18728.13
