id;descricao_refeicao;data_horario_refeicao;calorias_consumidas
1;joshingly secularise;2024-04-13T10:49:00;24192
2;remote ick unwitting;2024-04-13T13:49:11;23462
3;censor keenly up;2024-04-14T01:50:24;17993
4;winter periodic prioritize;2024-04-13T11:09:39;13201
5;tuition saw yahoo;2024-04-14T01:06:38;14162
6;cut meanwhile smoothly;2024-04-13T05:29:34;30674
7;spirited;2024-04-14T04:14:42;18875
8;behind hence hm;2024-04-13T05:56:53;2350
9;familiar;2024-04-13T15:36:09;16766
10;why during superior;2024-04-14T01:37:04;31249
